"name","st_x","st_y"
"中国建设银行24小时自助银行(淮海中路)","121.459993","31.216896"
"中国工商银行(听潮支行)","121.746032","31.047387"
"中国邮政储蓄银行24小时自助银行(彭浦支行)","121.455389","31.312282"
"中国建设银行24小时自助银行(上海福建路支行)","121.481765","31.239822"
"平安银行24小时自助银行(奉贤支行)","121.458233","30.906581"
"中国建设银行ATM(上海营口路支行)","121.532325","31.302939"
"中国工商银行24小时自助银行(晨光路)","121.514756","30.914224"
"中国工商银行(大渡河路支行)","121.396492","31.247297"
"中国工商银行ATM(虹口龙之梦支行)","121.478758","31.271171"
"中国建设银行24小时自助银行(中华路支行)","121.495629","31.215271"
"中国工商银行(长乐路支行)","121.459675","31.220759"
"中国建设银行24小时自助银行(金桥支行)","121.588077","31.253345"
"中国建设银行ATM","121.443499","31.225768"
"中国建设银行ATM","121.415738","31.218169"
"中国建设银行24小时自助银行(同心路支行)","121.479695","31.265894"
"中国建设银行(上海卫清路支行)","121.354847","30.733061"
"交通银行ATM","121.446739","31.191232"
"浦发银行打浦桥支行地上停车场(出入口)","121.463791","31.203074"
"中国建设银行(古北支行)","121.39421","31.194612"
"中国建设银行(上海常熟路支行)","121.446819","31.215441"
"中国邮政储蓄银行(莘松路支行)","121.354104","31.09921"
"中国邮政储蓄银行24小时自助银行(大木桥路支行)","121.461834","31.197759"
"中国建设银行24小时自助银行(上海罗店支行)","121.348488","31.415488"
"中国工商银行(莘庄工业区支行)","121.380803","31.077699"
"中国邮政储蓄银行(南车站路支行)","121.491157","31.209162"
"中国邮政储蓄银行(吴泾支行)","121.467061","31.042023"
"中国邮政储蓄银行(徐泾营业所)","121.275062","31.169572"
"澳新银行(上海分行)","121.500277","31.235111"
"中国邮政储蓄银行(上海金山区兴塔营业所)","121.07572","30.867454"
"中国建设银行(黄渡支行)","121.215534","31.267162"
"上海银行ATM(银城中路)","121.504776","31.239775"
"中国工商银行24小时自助银行(青浦支行营业厅)","121.115938","31.146282"
"中国邮政储蓄银行ATM","121.313859","31.786121"
"中国工商银行24小时自助银行(襄阳南路)","121.458138","31.206037"
"中国邮政储蓄银行(芷江西路支行)","121.467585","31.256388"
"招商银行(浦江镇支行)","121.505989","31.082967"
"中国邮政储蓄银行24小时自助银行(孙桥营业所)","121.632377","31.178543"
"中国邮政储蓄银行(柳营桥营业所)","121.4593","31.264047"
"中国邮政储蓄银行24小时自助银行(桂林西街营业所)","121.417383","31.153048"
"中国邮政储蓄银行ATM","121.1788","30.827943"
"中国邮政储蓄银行ATM","121.833011","31.485153"
"中国邮政储蓄银行24小时自助银行(平桥支行)","121.250638","31.007375"
"中国建设银行(上海西郊支行)","121.369561","31.207566"
"浙商银行(上海闵行支行)","121.390914","31.124989"
"中国邮政储蓄银行(东陆营业所)","121.596798","31.276393"
"中国工商银行(瑞金二路支行)","121.465134","31.213536"
"招商银行(上海长宁支行)","121.412976","31.217737"
"中国工商银行(新城区支行)","121.335554","30.746602"
"中国邮政储蓄银行24小时自助银行(闻喜路营业所)","121.446913","31.308133"
"中国邮政储蓄银行24小时自助银行(永清路营业所)","121.496776","31.388173"
"中国建设银行(白鹤支行)","121.140682","31.25728"
"中国建设银行(期货大厦支行)","121.535298","31.225542"
"中国工商银行(康城支行)","121.354135","31.098987"
"中国邮政储蓄银行24小时自助银行(塘西街支行)","121.343025","31.413617"
"中国邮政储蓄银行ATM","121.435516","31.195501"
"中国邮政储蓄银行24小时自助银行(装修中)","121.526796","31.220301"
"中国工商银行(真华路支行)","121.411008","31.28986"
"中国工商银行(碧江路支行)","121.400513","31.01333"
"中国工商银行(瑞虹支行)","121.498507","31.260466"
"中国工商银行(虬江路支行)","121.47026","31.250682"
"中国工商银行24小时自助银行(青岗路)","121.491458","31.380825"
"上海农商银行ATM(华发路)","121.453903","31.126932"
"中国建设银行24小时自助银行(顾戴路)","121.347025","31.123611"
"中国工商银行ATM","121.5492","31.228096"
"上海银行ATM(原平路)","121.431948","31.284899"
"广发银行(长寿支行)","121.445004","31.24504"
"中国民生银行24小时自助银行(上海外滩支行)","121.479281","31.265669"
"上海农商银行(罗泾支行)","121.324781","31.466107"
"兴业银行24小时自助银行(锦安东路社区支行)","121.540753","31.2052"
"中国邮政储蓄银行(北蔡支行)","121.553293","31.187979"
"中国民生银行24小时自助银行(上海锦绣满堂社区支行)","121.540661","31.205194"
"平安银行ATM","121.38281","31.232454"
"中国工商银行24小时自助银行","121.451506","31.218765"
"中国建设银行24小时自助银行(上海五角场支行)","121.514762","31.30268"
"中国工商银行ATM(南六公路)","121.715599","31.053314"
"中国工商银行24小时自助银行(松江大学城支行)(装修中)","121.204021","31.049484"
"中国工商银行24小时自助银行(曹路支行)","121.656112","31.27191"
"中国工商银行ATM(春申路)(装修中)","121.408179","31.107827"
"中国建设银行24小时自助银行","121.173937","31.146924"
"中国工商银行(莘庄商务区支行)","121.367741","31.128665"
"中国邮政储蓄银行(汇友路支行)","121.654021","31.026653"
"中国工商银行(曲阳商务中心支行)","121.491321","31.287148"
"中国工商银行离行式自助服务区(上海分行静安南京西路支行静安税务局)","121.43711","31.23231"
"中国建设银行24小时自助银行(三林支行)","121.499669","31.143276"
"中国建设银行24小时自助银行(上海周东路支行)","121.587003","31.114846"
"中国工商银行(吴淞路支行)","121.491124","31.248378"
"中国工商银行(城中路支行)","121.247544","31.382398"
"中国工商银行(南码头支行)","121.508016","31.199105"
"中国工商银行(新桥支行)","121.313632","31.05817"
"中国工商银行(叶城路支行)","121.245214","31.363095"
"中国工商银行(赵巷支行)","121.20174","31.154782"
"中国建设银行24小时自助银行(车墩支行)","121.309446","31.015259"
"中国建设银行(都市路支行)","121.388501","31.108824"
"中国建设银行ATM","121.348749","31.282063"
"中国农业银行(西岑支行)","120.96559","31.066824"
"中国建设银行(国际丽都支行)","121.457735","31.233507"
"广发银行(青浦支行)(装修中)","121.133863","31.146177"
"中国邮政储蓄银行(锦秋路支行)","121.387938","31.320876"
"中国工商银行(岚皋路支行)","121.420706","31.256879"
"中国邮政储蓄银行(泗塘支行)","121.444412","31.337576"
"中国邮政储蓄银行24小时自助银行(泗塘支行)","121.44444","31.337583"
"中国工商银行24小时自助银行(永清路支行)","121.495396","31.390237"
"中国邮政储蓄银行24小时自助银行(古美支行)","121.406073","31.142483"
"中国建设银行(上海逸仙路支行)","121.487629","31.299859"
"中国工商银行24小时自助银行(上海飞行部综合楼西南)","121.34943","31.183762"
"中国农业银行24小时自助银行(昆明路支行)","121.513377","31.260765"
"中国农业银行24小时自助银行(上海六团支行)","121.720704","31.154946"
"中国农业银行24小时自助银行(上海联洋支行)","121.551227","31.223373"
"中国工商银行(联洋第二支行)","121.552298","31.22463"
"中国工商银行24小时自助银行","121.422784","31.276546"
"中国建设银行24小时自助银行(上海安亭支行)","121.162757","31.289944"
"中国工商银行ATM(卜蜂莲花)","121.47617","30.914557"
"中国建设银行24小时自助银行(上海白莲泾支行)","121.505395","31.179699"
"中国建设银行24小时自助银行","121.399628","31.622191"
"中国建设银行24小时自助银行(上海汶水路支行)","121.470646","31.289607"
"中国建设银行(上海佘山支行)","121.186755","31.098825"
"中国农业银行24小时自助银行(上海顾村支行)","121.391039","31.356841"
"中国工商银行24小时自助银行(共富分理处)","121.426507","31.349213"
"中国工商银行(上海分行地铁静安寺站支行)","121.445971","31.222773"
"中国建设银行(泗泾支行)","121.274216","31.111172"
"中国建设银行24小时自助银行(上海泗泾支行)","121.274131","31.11111"
"中国建设银行24小时自助银行(丰庄支行)","121.364621","31.249309"
"中国农业银行(上海施湾分理处)","121.758618","31.14946"
"上海农商银行(江桥支行)","121.342499","31.255487"
"交通银行ATM(汇金百货)","121.404812","31.211592"
"交通银行24小时自助银行(大场支行)","121.399005","31.326198"
"中国邮政储蓄银行(听潮支行)","121.741577","31.039932"
"中国工商银行(汇成新村支行)","121.433711","31.142998"
"中国邮政储蓄银行(练塘支行)","121.041692","31.00856"
"中国建设银行(练塘支行)","121.042852","31.009086"
"中国建设银行(上海新郁路支行)","121.357061","31.241695"
"交通银行24小时自助银行(莘庄支行)","121.376398","31.110487"
"交通银行24小时自助银行(康桥支行)","121.56725","31.148359"
"中国建设银行(名都支行)","121.490222","31.22224"
"中国建设银行(上海联洋支行)","121.564394","31.228754"
"中国工商银行(徐家汇支行)","121.436702","31.197767"
"中国建设银行ATM(浦电路支行)","121.532388","31.222718"
"中国建设银行ATM(徐汇支行)(装修中)","121.439028","31.195223"
"中国农业银行24小时自助银行(真北路支行)","121.37895","31.233324"
"中国建设银行24小时自助银行(江海路支行)","121.457191","30.909851"
"中国农业银行24小时自助银行(上海杨行支行)","121.445496","31.36709"
"中国邮政储蓄银行(杨泰路营业所)","121.445362","31.36767"
"中国农业银行24小时自助银行(西藏南路支行)","121.479499","31.227361"
"中国工商银行(南京西路支行)","121.458212","31.229017"
