name,price,green_rate,plot_ratio,address
融耀新城,6130,,2.61,丰县/城区/北苑中路
翰林世家,5500,,2.63,沛县/沛县市区/汤沐路
紫金嘉苑,3800,,2.66,沛县/沛县市区/新孔线
小城故事,7222,,2.68,"铜山/铜山万达/北京路,近万达路"
泰山小区,10337,,2.7,泉山/矿业大学/大学城西路
丰源大厦,9446,,2.7,云龙/汽车客运总站/青年路57号
领地融创宸公馆,8800,,2.7,"金山桥开发区/高铁站/阳光路,近大大路"
玫瑰园,5539,,2.7,"丰县/城区/支农路,近南环路"
巴塞罗那,2416,,2.7,新沂/新沂市区/钟吾南路1号
永嘉新城中心,8166,,2.7,新城区/奥体中心/汉风路
新都市华庭,5468,,2.72,"沛县/沛县市区/东环路,近东风西路"
金泰尚城,7987,,2.73,"睢宁/城区/文学北路,近中央大街"
融创玉兰公馆,10455,,2.8,"泉山/火花/310国道,近311国道"
盛世珑庭,9050,,2.8,沛县/沛县市区/正阳路
君盛广场,12011,,2.8,鼓楼/祥和路/中山北路
宏利达金水湾,7357,,2.85,邳州/邳州市区/世纪大道
金府家园,18000,,2.91,泉山/湖滨小区/湖北路
怡美家园(2期),12902,,2.97,鼓楼/堤北/二环北路
中汉财富湾,11696,,2.99,铜山/铜山万达/北京南路100号
圆梦花园,11319,,3,云龙/天桥东/津浦东路
融创淮海壹号,14036,,3,"泉山/火花/西三环路,近矿山路"
万科新都会,10859,,3,铜山/铜山万达/北京北路16号
南郊中茵城,18000,,3,云龙/沃尔玛/和平路
华府天地家园,17220,,3,"鼓楼/堤北/煤港路,近二环北路"
万泰广场,8510,,3,铜山/铜山万达/北京南路285号
凤鸣城A区,5680,,3.08,丰县/城区/工农路
月星环球港,8927,,3.1,贾汪/新夏路口/徐海路8号
浙广首府,8174,,3.1,铜山/铜山万达/北京路
颖都花园,19871,,3.2,泉山/淮西新一街/淮海西路195号
汉城国际花苑二期,6990,,3.2,沛县/沛县市区/汉城路
龙源观邸,5200,,3.2,沛县/沛县市区/徐沛路
万科北宸天地,17160,,3.4,鼓楼/祥和路/二环北路
荣盛城,10513,,3.5,泉山/火花/新淮海西路43号
丰储街新旺角,11140,,3.5,"云龙/沃尔玛/丰储街,近民主南路"
汇川大象城(别墅),8084,,3.6,邳州/邳州市区/瑞兴南路
汇川大象城,7108,,3.6,邳州/邳州市区/瑞兴南路
天赋广场,11884,,3.9,铜山/铜山万达/北京路
30克拉,10314,,4.46,"金山桥开发区/高铁站/杨山路,近蟠桃山路"
金博星城,12441,,4.5,鼓楼/祥和路/奔腾大道南
世茂嘉园,7222,,4.5,邳州/邳州市区/人民路
和信广场,11607,,4.8,鼓楼/彭城广场/复兴北路27号
地王大厦,18036,,5,云龙/沃尔玛/解放路135号
帝王大厦,6470,,5,沛县/沛县市区/汉台路
绿地商务城,7866,,5.2,新城区/商务城/昆仑大道2号
新苏中心商业广场(北区),7732,,5.46,邳州/邳州市区/银杏大道
天成国贸中心,8000,,9.9,云龙/青年路/大同街125号
金地国际,12092,10.00%,,鼓楼/古彭广场/中山北路8号
银地徐州农机汽车大市场,8000,18.00%,1.7,金山桥开发区/高铁站/徐海路88号
奎园小区望月园,10383,20.00%,1.3,泉山/奎园西门/淮塔东路
天成花园,11244,20.00%,,"泉山/矿业大学/解放南路,近学府路"
金阳家园,12136,20.00%,,泉山/小康人家/二轻路
碧螺山庄(五区),10303,20.00%,3,金山桥开发区/碧螺山庄/金桥路10号
中凯城市之光,14114,20.00%,2.2,泉山/段庄广场/淮海西路
宏宇新天地,9360,20.00%,2.3,鼓楼/富源国际/环城路167号
金庭嘉园,12400,20.00%,3,泉山/淮海西路/西安北路
东阁小区,9713,20.00%,,鼓楼/富源国际/黄河东路15号
狮子山小区,10501,20.00%,,"云龙/郭庄路/德政路,近郭庄路"
黄河小区,9549,20.00%,1,"铜山/铜山新区/黄河路,近北京路"
西苑民乐园,10014,20.00%,,泉山/黄河南路/黄河南路116号
醒狮小区(一期),11923,20.00%,,泉山/香港名店街/富国街
奎中小区,10589,20.00%,1.2,泉山/四院/奎山中街10号
黄河新村,10342,20.00%,1,"泉山/彭城广场/黄河南路,近正大路"
锦绣嘉园,19406,20.00%,2.7,泉山/吴庄花园/新光路
惠民花园小区,8251,20.00%,0.8,新城区/大龙湖/汉源大道
时代华庭,13571,20.00%,3,泉山/矿业大学/金山东路
二环小区,10206,20.00%,,鼓楼/鼓楼广场/二环北路
舜禾公寓,14015,20.00%,2.7,泉山/市二院/夹河街36号
九龙湖福地阁,13517,20.00%,7.2,鼓楼/鼓楼广场/二环北路
汉韵小区(北区),10635,20.00%,3,鼓楼/鼓楼周边/襄王北路
学苑小区,7608,20.00%,,新沂/新沂市区/203县道
中学街小区,12838,20.00%,,鼓楼/古彭广场/民主北路
云龙万达广场,10268,20.00%,2.8,云龙/万达广场/和平大道58号
碧螺五区,10000,20.00%,3,鼓楼/金山桥/洞山路
金色家园,7070,20.00%,2.61,丰县/城区/工农路
融创凤鸣桃花源(别墅),14765,20.00%,0.66,贾汪/青山泉镇/凤鸣路
万达中心名宅,16332,20.00%,2.5,云龙/万达广场/庆丰路，近民祥园路
公元里,22912,20.00%,1,泉山/凤鸣路/解放路
段庄北小区,10616,21.00%,2.2,泉山/小康人家/工农北路
尚城国际,12551,21.00%,2.7,泉山/段庄广场/淮海西路272号
宏基天城,1119,21.00%,2.7,新沂/新沂市区/市府路40号
沛县帝都大厦,5800,22.00%,2.7,沛县/沛县市区/汤沐路11-1号
美的广场,7228,22.00%,3.5,"新城区/奥体中心/昆仑大道,近明正路"
文化城,7666,23.00%,1.2,泉山/康居小区/泰山路
福汇雅园,15354,23.00%,2.95,泉山/段庄广场/建国西路128号
福源国际馥园,18207,24.00%,,鼓楼/堤北/坝子街
管道公寓,15211,25.00%,1.3,"铜山/铜山新区/黄山路,近楚河路"
港南小区,10994,25.00%,1.5,鼓楼/鼓楼广场/中山北路
景染名居,13473,25.00%,2.8,"云龙/丰储街/民主南路,近建国东路"
中枢小区,10693,25.00%,2.5,泉山/彭城广场/中枢街
黄山新村小区,10168,25.00%,,云龙/黄山新村/黄山路
王场小区,9060,25.00%,,鼓楼/堤北/复兴北路
新吴庄东区,10633,25.00%,2.6,泉山/滨湖新天地少华街/湖北路
馨园小区,11744,25.00%,2.5,"云龙/万达广场/黄山路,近民祥园路"
民馨园东区,9333,25.00%,2.5,鼓楼/东站/黄河北路
山居花园,14602,25.00%,,云龙/九七医院/三环东路
新都佳苑,13720,25.00%,2.5,泉山/段庄广场/淮海西路253号
望景花园,14530,25.00%,3.4,泉山/中山南路/中山南路126号
兴华小区,9915,25.00%,,鼓楼/堤北/复兴北路
山水豪庭,9815,25.00%,2.5,云龙/彭城路/中山南路145号
黄山公寓,6989,25.00%,1.3,云龙/黄山新村/黄山路6号
铜东小区,9176,25.00%,1.21,泉山/凤鸣路/奎山25号
民馨园三期东区,9204,25.00%,2.5,鼓楼/九里/西苑中路
汉韵花园,4666,25.00%,1.8,"沛县/沛县市区/253省道,近珠江路"
绿地世纪城(北区),14453,25.00%,1.52,云龙/万达广场/民祥园路
民馨园西区,9800,25.00%,2.5,鼓楼/九里/西苑中路
龙商荣域,12974,25.00%,3,云龙/沃尔玛/解放路
嘉德金鼎广场,6501,25.00%,1.2,邳州/邳州市区/建设南路8号
玉融瀚景园,7187,25.00%,2.35,新沂/新沂市区/钟吾路2号
